Transaction_ID,User_ID,Date,Transaction_Type,Category,Amount,Balance_After_Transaction,Budget_Planned,Budget_Utilized,Credit_Score,Investment_Return,Payment_Mode,Action_Type,Interaction_Time,Preferred_View,Feedback_Score,Recommendation_Type,Recommendation_Outcome,Prediction_Confidence,Decision_Quality,Error_Reduction,Cognitive_Load_Score
T0001,U68,2025-01-02,Expense,Groceries,3703.51,4564.27,9910.71,8129.090717353438,472,,Debit,Report_View,52,Charts,1,Risk Alert,Ignored,81.78,1,21.78,2
T0002,U90,2024-12-09,Loan,Salary,3636.18,11920.29,12771.27,12655.26185048219,485,,Cash,Recommendation_Accepted,345,Tables,5,Budget Adjustment,Accepted,92.79,1,13.27,9
T0003,U82,2025-06-13,Income,EMI,1655.77,8347.62,5370.38,6669.690663344071,751,,Debit,Recommendation_Accepted,424,Summary,1,Risk Alert,Ignored,74.86,1,18.1,10
T0004,U59,2025-05-14,Income,Groceries,477.76,1292.07,8564.24,7680.621638375993,814,,Online,Report_View,89,Detailed,2,Budget Adjustment,Accepted,63.54,0,94.88,8
T0005,U98,2024-11-07,Loan,Groceries,2976.88,9532.09,12297.03,12653.132295174602,650,,Cash,Recommendation_Accepted,353,Detailed,2,Investment Suggestion,Accepted,65.64,0,67.36,5
T0006,U73,2024-12-23,Investment,Insurance,2594.45,5309.44,8583.47,7782.321632865681,643,-9.76,Credit,Recommendation_Ignored,277,Tables,3,Risk Alert,Accepted,88.8,0,26.27,4
T0007,U54,2024-10-22,Tax,Salary,3280.58,17349.79,5223.61,6039.88088112409,412,,Debit,Recommendation_Ignored,500,Tables,2,Budget Adjustment,Rejected,77.82,1,22.32,8
T0008,U96,2025-06-17,Income,Groceries,1918.65,8201.15,8918.76,8323.439488393018,458,,Online,Recommendation_Ignored,183,Charts,2,Investment Suggestion,Ignored,77.93,1,52.13,5
T0009,U17,2025-04-19,Investment,Insurance,328.74,5815.51,7063.07,8801.46568850358,341,7.99,Credit,Dashboard_Click,563,Summary,3,Investment Suggestion,Ignored,62.34,1,69.73,6
T0010,U73,2025-06-08,Income,Stocks,1370.38,2209.99,12753.79,13907.071464510793,456,,Credit,Report_View,148,Summary,5,Investment Suggestion,Rejected,65.33,0,81.03,3
T0011,U30,2024-09-30,Tax,Stocks,1110.65,5427.24,9083.33,8981.806288646165,624,,Credit,Recommendation_Ignored,488,Summary,1,Risk Alert,Accepted,52.68,0,14.09,1
T0012,U89,2025-08-28,Expense,Insurance,1416.5,4073.82,14116.94,15899.429798112495,381,,Debit,Recommendation_Ignored,100,Charts,3,Investment Suggestion,Rejected,89.82,0,4.03,1
T0013,U13,2025-04-15,Loan,Stocks,2688.17,17763.34,6113.85,6846.529524938627,745,,Debit,Recommendation_Accepted,73,Summary,3,Budget Adjustment,Accepted,92.77,0,29.16,5
T0014,U32,2024-12-05,Income,Utilities,3701.75,7993.02,14551.23,13021.376025248266,545,,Debit,Dashboard_Click,103,Charts,2,Risk Alert,Rejected,62.14,1,71.26,3
T0015,U81,2025-09-15,Investment,Travel,4770.98,1388.32,13549.41,13685.098350061413,559,-5.46,Cash,Recommendation_Ignored,419,Tables,2,Investment Suggestion,Accepted,89.87,1,11.77,9
T0016,U40,2025-01-07,Tax,Salary,2307.36,15900.35,5970.68,5723.509202612613,579,,Credit,Dashboard_Click,37,Tables,4,Investment Suggestion,Rejected,94.39,1,0.96,9
T0017,U34,2024-10-05,Loan,EMI,662.32,14828.25,10768.5,10502.068206048427,371,,Online,Dashboard_Click,587,Summary,5,Investment Suggestion,Ignored,73.81,1,18.45,9
T0018,U94,2025-07-26,Income,Stocks,4193.34,6318.54,3249.78,3101.134044752527,825,,Cash,Recommendation_Accepted,425,Charts,3,Investment Suggestion,Ignored,71.11,0,61.96,2
T0019,U25,2025-01-04,Investment,Travel,4529.42,14272.27,14562.98,12915.048868508384,667,2.28,Cash,Recommendation_Ignored,327,Summary,4,Risk Alert,Accepted,61.03,0,26.42,7
T0020,U5,2024-12-28,Income,Insurance,1284.53,3231.01,5057.91,5009.970145350724,605,,Credit,Dashboard_Click,404,Summary,4,Risk Alert,Rejected,50.12,1,13.76,10
T0021,U23,2025-02-23,Loan,Salary,1884.05,12565.36,7216.6,6614.719148062266,825,,Credit,Report_View,159,Charts,3,Budget Adjustment,Ignored,94.12,1,64.58,10
T0022,U1,2025-06-04,Tax,Stocks,4176.52,8424.3,8222.75,8909.659312493599,678,,Cash,Recommendation_Accepted,45,Summary,2,Budget Adjustment,Ignored,81.55,0,45.62,6
T0023,U20,2025-04-27,Tax,Healthcare,1916.29,12584.47,13981.46,14147.751919360013,644,,Debit,Recommendation_Accepted,580,Charts,2,Budget Adjustment,Ignored,78.53,1,61.14,3
T0024,U62,2025-06-24,Income,Stocks,3100.76,7609.91,3134.16,3312.6295777002,804,,Debit,Recommendation_Ignored,123,Detailed,4,Risk Alert,Ignored,62.41,1,96.99,5
T0025,U26,2025-09-14,Income,EMI,373.49,12753.83,13589.52,12861.578843912317,674,,Online,Recommendation_Ignored,381,Summary,2,Budget Adjustment,Rejected,96.87,1,74.64,6
T0026,U39,2024-09-29,Loan,Insurance,872.82,11410.27,11466.3,11675.926874113096,847,,Credit,Report_View,223,Summary,1,Investment Suggestion,Ignored,55.04,0,66.05,4
T0027,U67,2025-06-28,Expense,Healthcare,1143.83,1216.36,7067.72,5817.981272919113,650,,Online,Report_View,489,Tables,4,Budget Adjustment,Rejected,61.85,1,76.09,8
T0028,U34,2024-10-22,Expense,Groceries,4738.95,4649.59,12189.23,11492.30394451939,592,,Debit,Dashboard_Click,126,Tables,4,Risk Alert,Ignored,54.28,0,66.25,6
